Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
335,1,ConjugateGradient,2000,0.01,5,2426.8,127,78,61.95
336,1,ConjugateGradient,2000,0.2,5,2454.11,127,78,61.95
337,1,ConjugateGradient,2000,0.4,5,2405.87,127,78,61.95
338,1,ConjugateGradient,2000,0.6,5,2228.97,127,78,61.95
339,1,ConjugateGradient,2000,0.9,5,2232.19,127,78,61.95
340,1,ConjugateGradient,5000,0.01,1,2323.74,174,31,84.88
341,1,ConjugateGradient,5000,0.2,1,2350.41,181,24,88.29
342,1,ConjugateGradient,5000,0.4,1,3270.78,182,23,88.78
343,1,ConjugateGradient,5000,0.6,1,2439.31,186,19,90.73
344,1,ConjugateGradient,5000,0.9,1,2314.46,173,32,84.39
345,1,ConjugateGradient,5000,0.01,3,3643.29,180,25,87.8
346,1,ConjugateGradient,5000,0.2,3,3526.24,127,78,61.95
347,1,ConjugateGradient,5000,0.4,3,3121.97,127,78,61.95
348,1,ConjugateGradient,5000,0.6,3,3130.12,127,78,61.95
349,1,ConjugateGradient,5000,0.9,3,3093.18,127,78,61.95
350,1,ConjugateGradient,5000,0.01,5,4657.23,127,78,61.95
351,1,ConjugateGradient,5000,0.2,5,4639.35,127,78,61.95
352,1,ConjugateGradient,5000,0.4,5,4642.73,127,78,61.95
353,1,ConjugateGradient,5000,0.6,5,5467.85,127,78,61.95
354,1,ConjugateGradient,5000,0.9,5,4208.75,127,78,61.95
355,1,ConjugateGradient,10000,0.01,1,4399.35,178,27,86.83
356,1,ConjugateGradient,10000,0.2,1,4402.52,182,23,88.78
357,1,ConjugateGradient,10000,0.4,1,4357.62,180,25,87.8
358,1,ConjugateGradient,10000,0.6,1,4380.68,184,21,89.76
359,1,ConjugateGradient,10000,0.9,1,4411.99,178,27,86.83
360,1,ConjugateGradient,10000,0.01,3,6499.75,127,78,61.95
361,1,ConjugateGradient,10000,0.2,3,6218.07,78,127,38.05
362,1,ConjugateGradient,10000,0.4,3,6139.07,127,78,61.95
363,1,ConjugateGradient,10000,0.6,3,5867.76,127,78,61.95
364,1,ConjugateGradient,10000,0.9,3,6411.8,127,78,61.95
365,1,ConjugateGradient,10000,0.01,5,9655.35,127,78,61.95
366,1,ConjugateGradient,10000,0.2,5,8447.79,127,78,61.95
367,1,ConjugateGradient,10000,0.4,5,7521.73,127,78,61.95
368,1,ConjugateGradient,10000,0.6,5,7538.35,127,78,61.95
369,1,ConjugateGradient,10000,0.9,5,7117.89,78,127,38.05
370,1,ConjugateGradient,20000,0.01,1,8324.24,177,28,86.34
371,1,ConjugateGradient,20000,0.2,1,8302.77,182,23,88.78
372,1,ConjugateGradient,20000,0.4,1,8197.23,177,28,86.34
373,1,ConjugateGradient,20000,0.6,1,8189.81,184,21,89.76
374,1,ConjugateGradient,20000,0.9,1,8136.49,179,26,87.32
375,1,ConjugateGradient,20000,0.01,3,12222.38,177,28,86.34
376,1,ConjugateGradient,20000,0.2,3,14358.49,78,127,38.05
377,1,ConjugateGradient,20000,0.4,3,12554.67,179,26,87.32
378,1,ConjugateGradient,20000,0.6,3,11079.93,127,78,61.95
379,1,ConjugateGradient,20000,0.9,3,10565.26,127,78,61.95
380,1,ConjugateGradient,20000,0.01,5,16412.03,127,78,61.95
381,1,ConjugateGradient,20000,0.2,5,13802.2,127,78,61.95
382,1,ConjugateGradient,20000,0.4,5,31683.3,127,78,61.95
383,1,ConjugateGradient,20000,0.6,5,22145.26,172,33,83.9
384,1,ConjugateGradient,20000,0.9,5,14991.56,127,78,61.95
385,1,ConjugateGradient,50000,0.01,1,20288.14,177,28,86.34
386,1,ConjugateGradient,50000,0.2,1,20165.91,175,30,85.37
387,1,ConjugateGradient,50000,0.4,1,20106.37,186,19,90.73
