Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
631,2,ConjugateGradient,10,0.4,5,998.05,127,78,61.95
632,2,ConjugateGradient,10,0.6,5,2053.87,127,78,61.95
633,2,ConjugateGradient,10,0.9,5,1011.27,127,78,61.95
634,2,ConjugateGradient,20,0.01,1,454.73,127,78,61.95
635,2,ConjugateGradient,20,0.2,1,448.57,127,78,61.95
636,2,ConjugateGradient,20,0.4,1,452.4,127,78,61.95
637,2,ConjugateGradient,20,0.6,1,444.41,127,78,61.95
638,2,ConjugateGradient,20,0.9,1,448.89,127,78,61.95
639,2,ConjugateGradient,20,0.01,3,706.2,78,127,38.05
640,2,ConjugateGradient,20,0.2,3,715.05,127,78,61.95
641,2,ConjugateGradient,20,0.4,3,701.86,127,78,61.95
642,2,ConjugateGradient,20,0.6,3,699.39,127,78,61.95
643,2,ConjugateGradient,20,0.9,3,693.98,127,78,61.95
644,2,ConjugateGradient,20,0.01,5,2086.85,127,78,61.95
645,2,ConjugateGradient,20,0.2,5,1034.11,127,78,61.95
646,2,ConjugateGradient,20,0.4,5,996.29,127,78,61.95
647,2,ConjugateGradient,20,0.6,5,981.05,127,78,61.95
648,2,ConjugateGradient,20,0.9,5,993.87,127,78,61.95
649,2,ConjugateGradient,50,0.01,1,452.89,127,78,61.95
650,2,ConjugateGradient,50,0.2,1,456.14,127,78,61.95
651,2,ConjugateGradient,50,0.4,1,455.56,127,78,61.95
652,2,ConjugateGradient,50,0.6,1,454.44,134,71,65.37
653,2,ConjugateGradient,50,0.9,1,469.86,175,30,85.37
654,2,ConjugateGradient,50,0.01,3,709.41,127,78,61.95
655,2,ConjugateGradient,50,0.2,3,1814.24,127,78,61.95
656,2,ConjugateGradient,50,0.4,3,734.79,127,78,61.95
657,2,ConjugateGradient,50,0.6,3,735.46,127,78,61.95
658,2,ConjugateGradient,50,0.9,3,728.59,127,78,61.95
659,2,ConjugateGradient,50,0.01,5,1046.43,127,78,61.95
660,2,ConjugateGradient,50,0.2,5,1009.98,127,78,61.95
661,2,ConjugateGradient,50,0.4,5,997.12,127,78,61.95
662,2,ConjugateGradient,50,0.6,5,994.21,127,78,61.95
663,2,ConjugateGradient,50,0.9,5,991.1,127,78,61.95
664,2,ConjugateGradient,100,0.01,1,478.25,127,78,61.95
665,2,ConjugateGradient,100,0.2,1,1738.84,172,33,83.9
666,2,ConjugateGradient,100,0.4,1,494.69,173,32,84.39
667,2,ConjugateGradient,100,0.6,1,500.13,177,28,86.34
668,2,ConjugateGradient,100,0.9,1,487.85,169,36,82.44
669,2,ConjugateGradient,100,0.01,3,786.59,127,78,61.95
670,2,ConjugateGradient,100,0.2,3,769.82,127,78,61.95
671,2,ConjugateGradient,100,0.4,3,770.86,127,78,61.95
672,2,ConjugateGradient,100,0.6,3,777.81,127,78,61.95
673,2,ConjugateGradient,100,0.9,3,772.26,127,78,61.95
674,2,ConjugateGradient,100,0.01,5,1059.19,127,78,61.95
675,2,ConjugateGradient,100,0.2,5,1062.17,127,78,61.95
676,2,ConjugateGradient,100,0.4,5,1041.82,127,78,61.95
677,2,ConjugateGradient,100,0.6,5,2347.31,127,78,61.95
678,2,ConjugateGradient,100,0.9,5,1078.67,127,78,61.95
679,2,ConjugateGradient,200,0.01,1,524.66,127,78,61.95
680,2,ConjugateGradient,200,0.2,1,526.87,174,31,84.88
681,2,ConjugateGradient,200,0.4,1,530.46,173,32,84.39
682,2,ConjugateGradient,200,0.6,1,537.2,175,30,85.37
683,2,ConjugateGradient,200,0.9,1,534.64,139,66,67.8
684,2,ConjugateGradient,200,0.01,3,830.4,127,78,61.95
685,2,ConjugateGradient,200,0.2,3,824.78,127,78,61.95
686,2,ConjugateGradient,200,0.4,3,852.18,127,78,61.95
687,2,ConjugateGradient,200,0.6,3,877.76,127,78,61.95
688,2,ConjugateGradient,200,0.9,3,1984.82,172,33,83.9
689,2,ConjugateGradient,200,0.01,5,1158.79,127,78,61.95
690,2,ConjugateGradient,200,0.2,5,1155.1,127,78,61.95
691,2,ConjugateGradient,200,0.4,5,1148.43,127,78,61.95
692,2,ConjugateGradient,200,0.6,5,1138.97,127,78,61.95
693,2,ConjugateGradient,200,0.9,5,1151.33,127,78,61.95
694,2,ConjugateGradient,500,0.01,1,642.83,127,78,61.95
695,2,ConjugateGradient,500,0.2,1,642.59,177,28,86.34
696,2,ConjugateGradient,500,0.4,1,639.65,174,31,84.88
697,2,ConjugateGradient,500,0.6,1,643.4,177,28,86.34
698,2,ConjugateGradient,500,0.9,1,642.13,177,28,86.34
699,2,ConjugateGradient,500,0.01,3,2140.68,127,78,61.95
700,2,ConjugateGradient,500,0.2,3,1043.36,175,30,85.37
701,2,ConjugateGradient,500,0.4,3,1040.04,131,74,63.9
702,2,ConjugateGradient,500,0.6,3,997.88,127,78,61.95
703,2,ConjugateGradient,500,0.9,3,1020.87,127,78,61.95
704,2,ConjugateGradient,500,0.01,5,1397.7,127,78,61.95
705,2,ConjugateGradient,500,0.2,5,1384.28,127,78,61.95
706,2,ConjugateGradient,500,0.4,5,1366.73,127,78,61.95
707,2,ConjugateGradient,500,0.6,5,1378.12,127,78,61.95
708,2,ConjugateGradient,500,0.9,5,2668.99,127,78,61.95
709,2,ConjugateGradient,1000,0.01,1,883.62,127,78,61.95
710,2,ConjugateGradient,1000,0.2,1,888.65,177,28,86.34
711,2,ConjugateGradient,1000,0.4,1,891.07,177,28,86.34
712,2,ConjugateGradient,1000,0.6,1,871.76,173,32,84.39
713,2,ConjugateGradient,1000,0.9,1,877.27,176,29,85.85
714,2,ConjugateGradient,1000,0.01,3,1358.57,127,78,61.95
715,2,ConjugateGradient,1000,0.2,3,1332.6,127,78,61.95
716,2,ConjugateGradient,1000,0.4,3,1322.55,136,69,66.34
717,2,ConjugateGradient,1000,0.6,3,1363.95,78,127,38.05
718,2,ConjugateGradient,1000,0.9,3,2177.8,78,127,38.05
719,2,ConjugateGradient,1000,0.01,5,1842.88,127,78,61.95
720,2,ConjugateGradient,1000,0.2,5,3418.6,127,78,61.95
721,2,ConjugateGradient,1000,0.4,5,2186.69,127,78,61.95
722,2,ConjugateGradient,1000,0.6,5,1849.31,127,78,61.95
723,2,ConjugateGradient,1000,0.9,5,1805.53,127,78,61.95
724,2,ConjugateGradient,2000,0.01,1,1299.23,158,47,77.07
725,2,ConjugateGradient,2000,0.2,1,1304.67,177,28,86.34
726,2,ConjugateGradient,2000,0.4,1,1277.68,179,26,87.32
727,2,ConjugateGradient,2000,0.6,1,1272.75,179,26,87.32
728,2,ConjugateGradient,2000,0.9,1,1362.81,127,78,61.95
729,2,ConjugateGradient,2000,0.01,3,1952.46,127,78,61.95
730,2,ConjugateGradient,2000,0.2,3,2803.19,160,45,78.05
731,2,ConjugateGradient,2000,0.4,3,3035.66,78,127,38.05
732,2,ConjugateGradient,2000,0.6,3,1988.57,127,78,61.95
733,2,ConjugateGradient,2000,0.9,3,3346.11,172,33,83.9
734,2,ConjugateGradient,2000,0.01,5,2675.54,127,78,61.95
735,2,ConjugateGradient,2000,0.2,5,2674.38,127,78,61.95
736,2,ConjugateGradient,2000,0.4,5,2671.59,127,78,61.95
737,2,ConjugateGradient,2000,0.6,5,2639.7,127,78,61.95
738,2,ConjugateGradient,2000,0.9,5,2413.76,127,78,61.95
